Date,Adduktorendrücken am Kabelzug (stehend),Alternierendes Bankdrücken,Bankdrücken am Gerät (sitzend),"Bauch Hüfte heben, dann Beine fallen lassen",Beinbeuger am Gerät (Bauchlage),Beinbeuger am Gerät (sitzend) ein Bein,Beinbeuger am Gerät (stehend),Beinbeuger am Gerät 1 Bein (sitzend)*,Beinheben am Gerät (hängend),Beinpresse am Gerät,Beinpresse am Gerät 1 Bein,Beinstrecken am Gerät (sitzend) 1 Bein,Bizeps Panatta,Bizeps close grip one Arm,Bizeps-Curls Langhantel (stehend),Bizeps-Curls SZ-Stange (stehend),Bizeps-Curls am Hammerg. 1 Arm(sitzend),Bizeps-Curls am Kabelzug über Kopf (stehend),Bizeps-Curls am Nautilusg. 1 Arm(sitzend)*,Bizeps-Scottcurls am Gerät,Brustdrücken sitzend Gym90 ein Arm,Bulg. Kniebeuge mit Dehnung,Butterfly 1 Arm Panatta,Butterfly 1 Arm Schnell,Butterfly Reverse 1 Arm Gym 80,Crunches angewinkelte Beine,Einarmiges Rudern in der Standwaage,Flachbankdrücken Langhantel,Hammer Bankdrücken am Gerät (sitzend) 1 Arm,Hamstring stehen 1Bein,Handlauf ,Happy Baby Pose,Hyperextensions am Gerät,Hyperextensions am Gerät seitlich,Hüftbeuger Band grau 1 Bein,Hüftrollen,Jefferson Curls,Kabelzug Butterfly 1 Arm stehend,Knie auf den Ball,Kniebeuge Langhantel Schulterauflage (stehend),Kniebeuge im Gerät steil,Kreuzheben Langhantel,Langhantel rollen,Latziehen am Doppelturm 1 Arm,Latziehen am Turm 1 Arm,Latziehen zur Brust am Kabelzug mit engem Untergriff (sitzend),Laufen,Panatta Bankd 1 Arm,Plank Easy,Plank Reverse Easy,Plank Side Easy,Quad Monster Paramount,Rad rollen (kniend),Reverse Butterfly Kabel,Rolle Iliotibialband,Rolle Oberschelrückseite,Rolle Oberschenelinnenseite,Rolle Po,Rolle Quadrizeps,Rolle Rücken,Rolle Seiten,Rumpfrotation Doppelturm,Schulterdrücken KH 1 Bein,"Schulterdrücken Langhantel, Military (stehend)","Schulterdrücken am Gerät 1 Arm, (sitzend)*",Schulterdrücken ein Arm Hammer,Seith. KH auf 1 Bein,Seitheben Kurzhantel 1 Arm (stehend),Seitheben am Gerät,Seitl. Oberkörperheben an Hyperextensionsbank,Seitliche Crunches (angestellte Beine)*,Seitliches Hüftheben (liegend),Skorpion,Spez. Bauch 1,Spez. Bauch 2,Spez. Bauch 3,Spez. Ruecken 1,Spez. Ruecken 2,Spez. Ruecken 3,Spez. Rumpf 1,Spez. Rumpf 2,Spez. Rumpf 3,Standing Multi Flight 1 Arm,Tiefenaktivierung,Trizeps Dips am Gerät,Trizeps Nautilus 1 Arm,Trizeps SZ-Stange French-Press mit Untergriff (Flachbank),Trizepsdrücken am Gerät 1Arm (sitzend),Trizepsdrücken am Kabelzug 1 Arm(stehend),Umgekehrte Crunches Beine hinter die Ohren,Unterarm Maschine,Unterstützende Crunches (liegend),Unterstützende Klimmzüge am Gerät mit Untergriff,Wadenheben Donkey Calf,Wadenheben am Gerät (sitzend),Wadenheben sitzend 1 Bein,Wahrnehmung Rückenlage,Wahrnehmung Stand,Wahrnehmung Vierfuessler,Überz. Natilusgerät 1 Arm,Überz. am Natilusgerät,Überzüge Kurzhantel (Flachbank)
2018-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,116.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.4,,,,,,,,,42.7
2018-09-02,,,,,,,,,,,,,,,,,,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.2,,34.1,,,,,,,,,,,,,,,
2018-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-09,128.6,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.2,,,,,,,,,49.0
2018-09-20,,,,,,,,,,,,,,,,,,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.2,,39.6,,,,,,,,,,,,,,,
2018-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3,,,,,,,,,,,,,,124.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.5,,,,,,,,,51.8
2018-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7,,48.2,,,,,,,,,,,,,,,
2018-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.6,,,,,,,,,,,,,,106.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.6,,,,,,,,,48.0
2018-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7,,54.0,,,,,,,,,,,,,,,
2018-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.2,,,,,,,,,,,,,,124.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.2,,,,,,,,,48.0
2018-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
