Exercise,Start RM,Best RM,Δ RM,Date,Block,Name
Beinpresse am Gerät 1 Bein,51.4,90.0,38.6,05.06.2026,1,One Year Cut
Wadenheben sitzend 1 Bein,12.4,25.7,13.3,05.06.2026,1,One Year Cut
Kreuzheben Langhantel,57.6,65.5,7.9,05.06.2026,1,One Year Cut
Hammer Bankdrücken am Gerät (sitzend) 1 Arm,36.0,43.0,7.0,27.08.2025,1,One Year Cut
Latziehen am Turm 1 Arm,37.5,42.9,5.4,06.08.2025,1,One Year Cut
Schulterdrücken KH 1 Bein,12.6,14.0,1.4,06.09.2025,1,One Year Cut
Beinpresse am Gerät 1 Bein,74.1,120.0,45.9,10.07.2026,2,Clean Bulk No. 1
Kreuzheben Langhantel,64.8,90.0,25.2,19.08.2026,2,Clean Bulk No. 1
Brustdrücken sitzend Gym90 ein Arm,34.4,47.2,12.8,28.07.2026,2,Clean Bulk No. 1
Flachbankdrücken Langhantel,72.0,84.0,12.0,14.08.2026,2,Clean Bulk No. 1
Wadenheben sitzend 1 Bein,24.5,33.8,9.3,19.08.2026,2,Clean Bulk No. 1
Latziehen am Turm 1 Arm,31.0,37.5,6.5,14.08.2026,2,Clean Bulk No. 1
Bizeps Panatta,20.6,24.5,3.9,25.08.2026,2,Clean Bulk No. 1
Schulterdrücken KH 1 Bein,13.7,16.0,2.3,25.08.2026,2,Clean Bulk No. 1
Trizepsdrücken am Gerät 1Arm (sitzend),7.2,9.0,1.8,25.08.2026,2,Clean Bulk No. 1
